"","site","year","brdf","E_tile","N_tile","path","rgb_path"
"2024_521000_4522000","CPER",2024,"yes",521000,4522000,"/Users/khuelsma/DP3.30006.002/neon-aop-provisional-products/2024/FullSite/D10/2024_CPER_10/L3/Spectrometer/Reflectance/NEON_D10_CPER_DP3_521000_4522000_bidirectional_reflectance.h5","/Users/khuelsma/DP3.30010.001/neon-aop-products/2024/FullSite/D10/2024_CPER_10/L3/Camera/Mosaic/2024_CPER_10_521000_4522000_image.tif"
"2024_520000_4517000","CPER",2024,"yes",520000,4517000,"/Users/khuelsma/DP3.30006.002/neon-aop-provisional-products/2024/FullSite/D10/2024_CPER_10/L3/Spectrometer/Reflectance/NEON_D10_CPER_DP3_520000_4517000_bidirectional_reflectance.h5","/Users/khuelsma/DP3.30010.001/neon-aop-products/2024/FullSite/D10/2024_CPER_10/L3/Camera/Mosaic/2024_CPER_10_520000_4517000_image.tif"
"2024_525000_4519000","CPER",2024,"yes",525000,4519000,"/Users/khuelsma/DP3.30006.002/neon-aop-provisional-products/2024/FullSite/D10/2024_CPER_10/L3/Spectrometer/Reflectance/NEON_D10_CPER_DP3_525000_4519000_bidirectional_reflectance.h5","/Users/khuelsma/DP3.30010.001/neon-aop-products/2024/FullSite/D10/2024_CPER_10/L3/Camera/Mosaic/2024_CPER_10_525000_4519000_image.tif"
"2024_518000_4519000","CPER",2024,"yes",518000,4519000,"/Users/khuelsma/DP3.30006.002/neon-aop-provisional-products/2024/FullSite/D10/2024_CPER_10/L3/Spectrometer/Reflectance/NEON_D10_CPER_DP3_518000_4519000_bidirectional_reflectance.h5","/Users/khuelsma/DP3.30010.001/neon-aop-products/2024/FullSite/D10/2024_CPER_10/L3/Camera/Mosaic/2024_CPER_10_518000_4519000_image.tif"
"2024_521000_4521000","CPER",2024,"yes",521000,4521000,"/Users/khuelsma/DP3.30006.002/neon-aop-provisional-products/2024/FullSite/D10/2024_CPER_10/L3/Spectrometer/Reflectance/NEON_D10_CPER_DP3_521000_4521000_bidirectional_reflectance.h5","/Users/khuelsma/DP3.30010.001/neon-aop-products/2024/FullSite/D10/2024_CPER_10/L3/Camera/Mosaic/2024_CPER_10_521000_4521000_image.tif"
"2024_525000_4521000","CPER",2024,"yes",525000,4521000,"/Users/khuelsma/DP3.30006.002/neon-aop-provisional-products/2024/FullSite/D10/2024_CPER_10/L3/Spectrometer/Reflectance/NEON_D10_CPER_DP3_525000_4521000_bidirectional_reflectance.h5","/Users/khuelsma/DP3.30010.001/neon-aop-products/2024/FullSite/D10/2024_CPER_10/L3/Camera/Mosaic/2024_CPER_10_525000_4521000_image.tif"
"2024_524000_4520000","CPER",2024,"yes",524000,4520000,"/Users/khuelsma/DP3.30006.002/neon-aop-provisional-products/2024/FullSite/D10/2024_CPER_10/L3/Spectrometer/Reflectance/NEON_D10_CPER_DP3_524000_4520000_bidirectional_reflectance.h5","/Users/khuelsma/DP3.30010.001/neon-aop-products/2024/FullSite/D10/2024_CPER_10/L3/Camera/Mosaic/2024_CPER_10_524000_4520000_image.tif"
"2024_526000_4518000","CPER",2024,"yes",526000,4518000,"/Users/khuelsma/DP3.30006.002/neon-aop-provisional-products/2024/FullSite/D10/2024_CPER_10/L3/Spectrometer/Reflectance/NEON_D10_CPER_DP3_526000_4518000_bidirectional_reflectance.h5","/Users/khuelsma/DP3.30010.001/neon-aop-products/2024/FullSite/D10/2024_CPER_10/L3/Camera/Mosaic/2024_CPER_10_526000_4518000_image.tif"
"2024_520000_4515000","CPER",2024,"yes",520000,4515000,"/Users/khuelsma/DP3.30006.002/neon-aop-provisional-products/2024/FullSite/D10/2024_CPER_10/L3/Spectrometer/Reflectance/NEON_D10_CPER_DP3_520000_4515000_bidirectional_reflectance.h5","/Users/khuelsma/DP3.30010.001/neon-aop-products/2024/FullSite/D10/2024_CPER_10/L3/Camera/Mosaic/2024_CPER_10_520000_4515000_image.tif"
"2024_519000_4519000","CPER",2024,"yes",519000,4519000,"/Users/khuelsma/DP3.30006.002/neon-aop-provisional-products/2024/FullSite/D10/2024_CPER_10/L3/Spectrometer/Reflectance/NEON_D10_CPER_DP3_519000_4519000_bidirectional_reflectance.h5","/Users/khuelsma/DP3.30010.001/neon-aop-products/2024/FullSite/D10/2024_CPER_10/L3/Camera/Mosaic/2024_CPER_10_519000_4519000_image.tif"
"2024_526000_4516000","CPER",2024,"yes",526000,4516000,"/Users/khuelsma/DP3.30006.002/neon-aop-provisional-products/2024/FullSite/D10/2024_CPER_10/L3/Spectrometer/Reflectance/NEON_D10_CPER_DP3_526000_4516000_bidirectional_reflectance.h5","/Users/khuelsma/DP3.30010.001/neon-aop-products/2024/FullSite/D10/2024_CPER_10/L3/Camera/Mosaic/2024_CPER_10_526000_4516000_image.tif"
